pricing_id,item_id,year,expression_type,raw_expression,base_value,base_unit,variable_value,variable_unit,confidence,source_file
PRICE_HABITACION_QUINTUPLE_HOTEL_BB_0099,HABITACION_QUINTUPLE_HOTEL_BB,2026,per_unit,376307,,,376307.0,CLP,high,precios_alojamiento.csv
PRICE_CABANA_6_PAX_BB_0100,CABANA_6_PAX_BB,2026,per_unit,433386,,,433386.0,CLP,high,precios_alojamiento.csv
PRICE_CABANA_7_PAX_BB_0101,CABANA_7_PAX_BB,2026,per_unit,490567,,,490567.0,CLP,high,precios_alojamiento.csv
PRICE_CABANA_8_PAX_BB_0102,CABANA_8_PAX_BB,2026,per_unit,547546,,,547546.0,CLP,high,precios_alojamiento.csv
PRICE_SALON_CHINOOK_DIURNO_0103,SALON_CHINOOK_DIURNO,2026,flat,385000,385000.0,CLP,,,high,precios_arriendo_de_salones_audios_y_c.csv
PRICE_SALON_COHO_DIURNO_0104,SALON_COHO_DIURNO,2026,flat,330000,330000.0,CLP,,,high,precios_arriendo_de_salones_audios_y_c.csv
PRICE_SALON_FARIO_DIURNO_0105,SALON_FARIO_DIURNO,2026,flat,242000,242000.0,CLP,,,high,precios_arriendo_de_salones_audios_y_c.csv
PRICE_SALON_ARCOIRIS_DIURNO_0106,SALON_ARCOIRIS_DIURNO,2026,flat,209000,209000.0,CLP,,,high,precios_arriendo_de_salones_audios_y_c.csv
PRICE_DIRECTORIO_DIURNO_0107,DIRECTORIO_DIURNO,2026,flat,319000,319000.0,CLP,,,high,precios_arriendo_de_salones_audios_y_c.csv
PRICE_DOMO_240_PAX_0108,DOMO_240_PAX,2026,flat,550000,550000.0,CLP,,,high,precios_arriendo_de_salones_audios_y_c.csv
PRICE_TICKET_TRAGO_0109,TICKET_TRAGO,2026,per_unit,6063,,,6063.0,CLP,high,precios_bebidas__y_bar.csv
PRICE_TICKET_CERVEZA_0110,TICKET_CERVEZA,2026,per_unit,4370,,,4370.0,CLP,high,precios_bebidas__y_bar.csv
PRICE_TICKET_TRAGO_VIP_0111,TICKET_TRAGO_VIP,2026,per_unit,6800,,,6800.0,CLP,high,precios_bebidas__y_bar.csv
PRICE_BAR_ABIERTO_4H_0112,BAR_ABIERTO_4H,2026,per_person,30800,,,30800.0,CLP,high,precios_bebidas__y_bar.csv
PRICE_HORA_EXTRA_BAR_ABIERTO_0113,HORA_EXTRA_BAR_ABIERTO,2026,per_person,10010,,,10010.0,CLP,high,precios_bebidas__y_bar.csv
PRICE_BAR_ABIERTO_SIN_ALCOHOL_4H_0114,BAR_ABIERTO_SIN_ALCOHOL_4H,2026,per_person,32000,,,32000.0,CLP,high,precios_bebidas__y_bar.csv
PRICE_HORA_EXTRA_BAR_ABIERTO_SIN_ALCOHOL_0115,HORA_EXTRA_BAR_ABIERTO_SIN_ALCOHOL,2026,per_person,10400,,,10400.0,CLP,high,precios_bebidas__y_bar.csv
PRICE_BAR_ABIERTO_VIP_4H_0116,BAR_ABIERTO_VIP_4H,2026,per_person,38000,,,38000.0,CLP,high,precios_bebidas__y_bar.csv
