ID_Perfil_Precio,Nombre,Costo_Base_Fijo,Costo_Unitario_Pax,Costo_Unitario_Tiempo,Costo_Unitario_Item,Activo,Updated_At
PROF_1_CHOCOLATE_SAHNE_NUSS_250G_ESPUMANTE_O_BOTELLA_DE_VINO,Perfil 1 Chocolate Sahne Nuss 250g + espumante o botella de vino,25000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_RESMA_DE_HOJAS,Perfil Resma de Hojas,12000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_LAPICES_AZUL_PASTA,Perfil Lapices azul Pasta,1000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CORRECTOR_LAPIZ,Perfil Corrector lapiz,3500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PLUMONES_PERMANENTE,Perfil Plumones permanente,1000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PLUMONES_DE_PIZARRA,Perfil Plumones de pizarra,800,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_FOTOCOPIAS_O_IMPRESION_COLOR,Perfil Fotocopias o impresion color,600,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_FOTOCOPIAS_O_IMPRESION_NEGRO,Perfil Fotocopias o impresion negro,300,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ALMUERZOS_PRODUCTORAS_O_CHOFERES_EN_BUFFET,Perfil Almuerzos productoras o choferes en buffet,16387,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_GUIAS_EXCLUSIVOS_PARA_CAMINATAS,Perfil Guias exclusivos para caminatas,80000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMINATA_LA_TENCA_DE_FORMA_EXCLUSIVA_1_5_HORAS,"Perfil Caminata ""la tenca"" de forma exclusiva, 1,5 horas",300000,10000,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMINATA_AL_MIRADOR_EXCLUSIVA_DIFICULTAD_MEDIA_DURACION_1_HORA,"Perfil Caminata al mirador exclusiva.  Dificultad media, duracion: 1 hora",300000,10000,0,0,true,2026-02-19T16:42:08.795Z
PROF_FOGON_PEQUENO_FOGATA_PEQUENA,Perfil Fogon pequeño (Fogata pequeña),100000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_FOGATA_GRANDE,Perfil Fogata grande,250000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CLASE_DE_PESCA_CON_MOSCA_3_HORAS_9_AM_A_12PM,Perfil Clase de pesca con mosca 3 horas(9 am a 12pm),63025,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ARRIENDO_DE_CANA,Perfil Arriendo de Caña,12605,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PASEOS_A_CABALLO_EXCLUSIVOS_MINIMO_4_PASAJEROS_DURACION_3_4_HORAS_MAXIMO_20_PERSONAS,"Perfil Paseos a Caballo exclusivos, minimo 4 pasajeros, duracion 3-4 horas. Maximo 20 personas",42017,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PASEO_A_CABALLO_VERTIENTE_DEL_TORO,Perfil Paseo a caballo Vertiente del toro,109000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PASEO_A_CABALLO_ALTOS_DEL_GUINDO,Perfil Paseo a caballo Altos del Guindo,119000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_USO_DE_ACTIVIDADES,Perfil Uso de actividades,21,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_USO_DE_ACTIVIDADES_POR_CORTESIA,Perfil Uso de actividades por cortesía,0,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_YOGA,Perfil Yoga,300000,10000,0,0,true,2026-02-19T16:42:08.795Z
PROF_PAINTBALL,Perfil Paintball,1000000,35000,0,0,true,2026-02-19T16:42:08.795Z
